	gene	approved_symbol
0	AMELY	AMELY
1	BPY2	BPY2
2	BPY2B	BPY2B
3	BPY2C	BPY2C
4	CDY1	CDY1
5	CDY1B	CDY1B
6	CDY2A	CDY2A
7	CDY2B	CDY2B
8	DAZ1	DAZ1
9	DAZ2	DAZ2
10	DAZ3	DAZ3
11	DAZ4	DAZ4
12	DDX3Y	DDX3Y
13	EIF1AY	EIF1AY
14	HSFY1	HSFY1
15	HSFY2	HSFY2
16	KDM5D	KDM5D
17	NLGN4Y	NLGN4Y
18	PCDH11Y	PCDH11Y
19	PRORY	PRORY
20	PRY	PRY
21	PRY2	PRY2
22	RBMY1A1	RBMY1A1
23	RBMY1B	RBMY1B
24	RBMY1D	RBMY1D
25	RBMY1E	RBMY1E
26	RBMY1F	RBMY1F
27	RBMY1J	RBMY1J
28	RPS4Y1	RPS4Y1
29	RPS4Y2	RPS4Y2
30	SRY	SRY
31	TBL1Y	TBL1Y
32	TGIF2LY	TGIF2LY
33	TMSB4Y	TMSB4Y
34	TSPY1	TSPY1
35	TSPY2	TSPY2
36	TSPY3	TSPY3
37	TSPY4	TSPY4
38	TSPY8	TSPY8
39	TSPY10	TSPY10
40	USP9Y	USP9Y
41	UTY	UTY
42	VCY	VCY
43	VCY1B	VCY1B
44	ZFY	ZFY
