gene	approved_symbol
AMELY	AMELY
BPY2	BPY2
BPY2B	BPY2B
BPY2C	BPY2C
CDY1	CDY1
CDY1B	CDY1B
CDY2A	CDY2A
CDY2B	CDY2B
DAZ1	DAZ1
DAZ2	DAZ2
DAZ3	DAZ3
DAZ4	DAZ4
DDX3Y	DDX3Y
EIF1AY	EIF1AY
HSFY1	HSFY1
HSFY2	HSFY2
KDM5D	KDM5D
NLGN4Y	NLGN4Y
PCDH11Y	PCDH11Y
PRORY	PRORY
PRY	PRY
PRY2	PRY2
RBMY1A1	RBMY1A1
RBMY1B	RBMY1B
RBMY1D	RBMY1D
RBMY1E	RBMY1E
RBMY1F	RBMY1F
RBMY1J	RBMY1J
RPS4Y1	RPS4Y1
RPS4Y2	RPS4Y2
SRY	SRY
TBL1Y	TBL1Y
TGIF2LY	TGIF2LY
TMSB4Y	TMSB4Y
TSPY1	TSPY1
TSPY2	TSPY2
TSPY3	TSPY3
TSPY4	TSPY4
TSPY8	TSPY8
TSPY10	TSPY10
USP9Y	USP9Y
UTY	UTY
VCY	VCY
VCY1B	VCY1B
ZFY	ZFY
